Step,Percentile,AUROC,Precision,Recall,F1 score,Random Seed
3216,15.2857364654541,0.9807,0.8166666666666667,0.98,0.890909090909091,0.88,0.98,0.78,652016
3216,15.494325714111326,0.9807,0.8448275862068966,0.98,0.9074074074074074,0.9,0.98,0.82,652016
3216,15.716215591430664,0.9807,0.8660714285714286,0.97,0.9150943396226415,0.91,0.97,0.85,652016
3216,15.849557075500488,0.9807,0.8888888888888888,0.96,0.923076923076923,0.92,0.96,0.88,652016
3216,16.235825805664064,0.9807,0.9038461538461539,0.94,0.9215686274509804,0.92,0.94,0.9,652016
3216,16.45508283615112,0.9807,0.9215686274509803,0.94,0.9306930693069307,0.93,0.94,0.92,652016
3216,16.6925106048584,0.9807,0.93,0.93,0.93,0.93,0.93,0.93,652016
3216,16.97951705932617,0.9807,0.9479166666666666,0.91,0.9285714285714285,0.93,0.91,0.95,652016
3216,17.38290126800537,0.9807,0.9565217391304348,0.88,0.9166666666666666,0.92,0.88,0.96,652016
3216,17.985361251831065,0.9807,0.9659090909090909,0.85,0.9042553191489362,0.91,0.85,0.97,652016
