Model,Dataset,Method,Weight,Label,Step,Percentile,AUROC,PRC,Precision,Recall,F1 score,Accuracy,Sensitivity,Specificity,Random Seed,Date
ganomaly.GANomaly,material,fm_1,paper,0,3819,13.249444198608398,0.9886416104903499,0.9767210411633509,0.7222222222222222,1.0,0.8387096774193548,0.8333333333333334,1.0,0.7058823529411765,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_1,paper,0,3819,13.410397396087646,0.9886416104903499,0.9767210411633509,0.7459016393442623,1.0,0.8544600938967136,0.8523809523809524,1.0,0.7394957983193278,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_1,paper,0,3819,13.560145950317384,0.9886416104903499,0.9767210411633509,0.7711864406779662,1.0,0.8708133971291866,0.8714285714285714,1.0,0.773109243697479,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_1,paper,0,3819,13.770009689331054,0.9886416104903499,0.9767210411633509,0.8053097345132744,1.0,0.892156862745098,0.8952380952380953,1.0,0.8151260504201681,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_1,paper,0,3819,13.941067886352538,0.9886416104903499,0.9767210411633509,0.8348623853211009,1.0,0.9099999999999999,0.9142857142857143,1.0,0.8487394957983193,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_1,paper,0,3819,14.164829730987549,0.9886416104903499,0.9767210411633509,0.8666666666666667,1.0,0.9285714285714286,0.9333333333333333,1.0,0.8823529411764706,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_1,paper,0,3819,14.601400146484377,0.9886416104903499,0.9767210411633509,0.900990099009901,1.0,0.9479166666666667,0.9523809523809523,1.0,0.9159663865546218,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_1,paper,0,3819,15.119779644012452,0.9886416104903499,0.9767210411633509,0.9278350515463918,0.989010989010989,0.9574468085106383,0.9619047619047619,0.989010989010989,0.9411764705882353,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_1,paper,0,3819,15.374100799560548,0.9886416104903499,0.9767210411633509,0.9347826086956522,0.945054945054945,0.9398907103825138,0.9476190476190476,0.945054945054945,0.9495798319327731,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_2,paper,0,3819,1.0240976095199585,0.9891956782713085,0.9775432180781299,0.7222222222222222,1.0,0.8387096774193548,0.8333333333333334,1.0,0.7058823529411765,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_2,paper,0,3819,1.0307154703140258,0.9891956782713085,0.9775432180781299,0.7459016393442623,1.0,0.8544600938967136,0.8523809523809524,1.0,0.7394957983193278,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_2,paper,0,3819,1.052609920501709,0.9891956782713085,0.9775432180781299,0.7711864406779662,1.0,0.8708133971291866,0.8714285714285714,1.0,0.773109243697479,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_2,paper,0,3819,1.0655455541610719,0.9891956782713085,0.9775432180781299,0.8053097345132744,1.0,0.892156862745098,0.8952380952380953,1.0,0.8151260504201681,652016,Wed Mar 11 23:49:56 2020
ganomaly.GANomaly,material,fm_2,paper,0,3819,1.0851869201660156,0.9891956782713085,0.9775432180781299,0.8348623853211009,1.0,0.9099999999999999,0.9142857142857143,1.0,0.8487394957983193,652016,Wed Mar 11 23:49:56 2020
