Step,Percentile,AUROC,Precision,Recall,F1 score,Random Seed
3216,0.9673714637756348,0.7224,0.5833333333333334,0.7,0.6363636363636365,0.6,0.7,0.5,652016
3216,0.967509948015213,0.7224,0.5775862068965517,0.67,0.6203703703703703,0.59,0.67,0.51,652016
3216,0.9675765419006347,0.7224,0.5982142857142857,0.67,0.6320754716981132,0.61,0.67,0.55,652016
3216,0.967684599161148,0.7224,0.6111111111111112,0.66,0.6346153846153846,0.62,0.66,0.58,652016
3216,0.9677823758125306,0.7224,0.625,0.65,0.6372549019607844,0.63,0.65,0.61,652016
3216,0.9678031641244889,0.7224,0.6372549019607843,0.65,0.6435643564356436,0.64,0.65,0.63,652016
3216,0.9678510129451752,0.7224,0.63,0.63,0.63,0.63,0.63,0.63,652016
3216,0.9680041193962097,0.7224,0.6458333333333334,0.62,0.6326530612244898,0.64,0.62,0.66,652016
3216,0.9680791687965393,0.7224,0.6521739130434783,0.6,0.6250000000000001,0.64,0.6,0.68,652016
3216,0.9681881904602051,0.7224,0.6590909090909091,0.58,0.6170212765957446,0.64,0.58,0.7,652016
